file,doc_id,doc_type,essay_type,lang,title,container_title,publ_year,publisher,n_authors,n_editors,cust_groups,n_topics,n_keywords,n_countries,n_orgs,topics,keywords,countries,organizations,n_sections,n_xrefs,word_count,isbn,issn,pages_start,pages_end,supplement,updated
KLI-KCL-0949015.xml,KLI-KCL-0949015,caselaw,,en,"Commission v. Belgium, Judgment of the Court of Justice of 3 December 2009, Case C-475/08",Selected Materials from the European Union,,European Union,0,0,"('KCL',)",1,6,0,0,"('Liberalisation',)","('Failure of a Member State to fulfil obligations', 'Directive 2003/55/EC', 'Internal market in natural gas', 'Definitive designation of system operators', 'Decision exempting major new gas infrastructures from the application of certain provisions of Directive 2003/55/EC', 'Publication, consultation and notification obligations')",(),(),3,1,4090,,IS023,,,,
KLI-KCL-CL-CompL200500292.xml,KLI-KCL-CL-CompL200500292,caselaw,,en,"Coca-Cola v. Commission, Judgment of the Court of First Instance of 22 March 2000, Cases T-125/97 and T-127/97",Competition Law in Western Europe and the USA,1976.0,Kluwer Law International,0,1,"('KCL',)",2,0,0,0,"('Antitrust', 'Mergers')",(),(),(),6,0,10481,9789065449047,,CM.M.III - 11557,CM.M.III - 11574,195,20000900
KLI-KCL-COLA-610503.xml,KLI-KCL-COLA-610503,commentary,comment,en,Back to the Future: Merger Control Outside the Merger Regulation,Common Market Law Review,2024.0,Kluwer Law International,1,8,"('KCL', 'CH')",1,0,0,0,"('Mergers',)",(),(),(),6,5,13452,,0165-0750,1223,1254,,
KLI-KCL-COLA-610504.xml,KLI-KCL-COLA-610504,commentary,comment,en,EU State Aid and the Tax Allocation of Multinationals’ Profits,Common Market Law Review,2024.0,Kluwer Law International,2,8,"('KCL', 'CH')",1,0,0,0,"('State Aid',)",(),(),(),6,2,15527,,0165-0750,1255,1288,,
KLI-KCL-MTM-Bolivia.xml,KLI-KCL-MTM-Bolivia,essay,monograph,en,Bolivia,Merger Thresholds Monitor,2025.0,Kluwer Law International,3,0,"('KCL',)",0,0,1,0,(),(),"('Bolivia',)",(),8,1,1923,,IS029,,,,
KLI-KCL-MTM-Canada.xml,KLI-KCL-MTM-Canada,essay,monograph,en,Canada,Merger Thresholds Monitor,2025.0,Kluwer Law International,3,0,"('KCL',)",0,0,1,0,(),(),"('Canada',)",(),8,10,4223,,IS029,,,,
KLI-KCL-Roy-2024-a001.xml,KLI-KCL-Roy-2024-a001,essay,monograph,en,About the Author,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",0,0,0,0,(),(),(),(),1,0,107,9789403531373,,v,vi,,
KLI-KCL-Roy-2024-a002.xml,KLI-KCL-Roy-2024-a002,essay,monograph,en,List of Abbreviations,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",0,0,0,0,(),(),(),(),1,0,896,9789403531373,,xvii,xxii,,
KLI-KCL-Roy-2024-a003.xml,KLI-KCL-Roy-2024-a003,essay,monograph,en,Foreword,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,1,0,"('KCL',)",0,0,0,0,(),(),(),(),1,0,1430,9789403531373,,xxiii,xxvi,,
KLI-KCL-Roy-2024-a004.xml,KLI-KCL-Roy-2024-a004,essay,monograph,en,Acknowledgements,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",0,0,0,0,(),(),(),(),1,0,430,9789403531373,,xxvii,xxviii,,
