file,doc_id,doc_type,essay_type,lang,title,container_title,publ_year,publisher,n_authors,n_editors,cust_groups,n_topics,n_keywords,n_countries,n_orgs,topics,keywords,countries,organizations,n_sections,n_xrefs,word_count,isbn,issn,pages_start,pages_end,supplement,updated
ipn26250.xml,ipn26250,legislation,,en,International Arbitration Law 2001,ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,0,1,"('KA', 'IHB')",0,0,0,0,(),(),(),(),9,1,6639,9789065449672,,1,14,120,20220200
KLI-JOIA-420501.xml,KLI-JOIA-420501,essay,articles,en,State Immunity and the Recognition and Enforcement of ICSID Awards: Taking Stock,Journal of International Arbitration,2025.0,Kluwer Law International,1,1,"('KA', 'CH')",1,4,0,1,"('Investment Arbitration',)","('ICSID Convention', 'New York Convention', 'state immunity', 'Infrastructure Services Luxembourg')",(),"('International Centre for Settlement of Investment Disputes',)",4,11,14511,,0255-8106,533,566,,
KLI-JOIA-420502.xml,KLI-JOIA-420502,commentary,case-note,en,Template Justice on Trial: A Critical Analysis of DJP v. DJO’s New Standards for Arbitrators,Journal of International Arbitration,2025.0,Kluwer Law International,1,1,"('KA', 'CH')",0,10,0,0,(),"('International Commercial Arbitration', 'Breach of Natural Justice', 'Arbitrator Bias', 'Repeat Appointments', 'Issue Conflict', 'Principle of Information Equality', 'Copying of Arbitral Award', 'Setting Aside of Award', 'DJP v. DJO', 'Singapore Court of Appeal')",(),(),6,7,6181,,0255-8106,567,584,,
KLI-JOIA-420503.xml,KLI-JOIA-420503,essay,articles,en,AI Guidelines in International Arbitration: Revolutionary or Cautionary? A Comparative Analysis,Journal of International Arbitration,2025.0,Kluwer Law International,2,1,"('KA', 'CH')",0,10,0,2,(),"('Artificial Intelligence', 'Arbitration', 'Arbitrator Powers', 'Disclosure', 'Due Diligence', 'Hallucination', 'Blackbox', 'Setting Aside', 'Technology', 'Generative AI')",(),"('Silicon Valley Arbitration and Mediation Centre', 'Chartered Institute of Arbitrators')",6,22,15092,,0255-8106,585,628,,
KLI-JOIA-420504.xml,KLI-JOIA-420504,essay,articles,en,How to Teach an Old Dog New Tricks: Appeals and the English Arbitration Law Reform,Journal of International Arbitration,2025.0,Kluwer Law International,3,1,"('KA', 'CH')",0,6,1,0,(),"('arbitration', 'appeals in arbitration', 'arbitration law reform', 'shipping arbitration', 'section 69 Arbitration Act 1996 and appeals', 'section 67 Arbitration Act 1996 and appeals')","('United Kingdom',)",(),6,12,14267,,0255-8106,629,660,,
KLI-JOIA-420505.xml,KLI-JOIA-420505,essay,articles,en,DAA 2015 Quo Vadis? An Empirical and Substantive Analysis of Decisions on Applications for Set-Aside of Arbitral Awards under the Dutch Arbitration Act of 2015: Has the Dutch Legislator Reached Its Objectives?,Journal of International Arbitration,2025.0,Kluwer Law International,1,1,"('KA', 'CH')",0,7,1,0,(),"('set-aside', 'annulment', 'empirical', 'Dutch arbitration act', 'public policy', 'arbitration agreement', 'The Netherlands')","('Netherlands',)",(),7,20,13883,,0255-8106,661,689,,
KLI-KA-1003007-n.xml,KLI-KA-1003007-n,legislation,,en,Arbitration Code (Promulgated by Law No. 93-42),ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,0,1,"('KA', 'IHB')",0,0,0,0,(),(),(),(),5,1,8310,9789065449672,,1,18,56,20090900
KLI-KA-1433004.xml,KLI-KA-1433004,legislation,,en,Law Regarding the Amendment of the Turkish Penal Code and Other Codes,A contribution by the ITA Board of Reporters,,Kluwer Law International,1,0,"('KA',)",0,0,0,0,(),(),(),(),1,0,575,,IS001,,,,
KLI-KA-AI-Arbitration-2026-b001.xml,KLI-KA-AI-Arbitration-2026-b001,essay,monograph,en,Bibliography,AI and Arbitration,2026.0,Kluwer Law International,0,2,"('KA',)",0,0,0,0,(),(),(),(),0,0,0,9789403552804,,,,,
KLI-KA-AI-Arbitration-2026-Ch01.xml,KLI-KA-AI-Arbitration-2026-Ch01,essay,monograph,en,Chapter 1: International Arbitration and Digital Open Justice Systems,AI and Arbitration,2026.0,Kluwer Law International,1,2,"('KA',)",0,0,0,0,(),(),(),(),0,0,0,9789403552804,,,,,
